run_name,vectorizer,model,accuracy,precision,recall,f1_weighted,f1_macro,roc_auc
tfidf_sublinear__linear_svc,tfidf_sublinear,linear_svc,0.9972965666396323,0.9973747005517817,0.9972965666396323,0.9973143738511242,0.9919241309325653,0.9999876102686094
hashing__linear_svc,hashing,linear_svc,0.9972965666396323,0.9973747005517817,0.9972965666396323,0.9973143738511242,0.9919241309325653,0.9999814154029141
tfidf_unigram__linear_svc,tfidf_unigram,linear_svc,0.9972965666396323,0.997352505494684,0.9972965666396323,0.9973108595232197,0.9919027896958128,0.9999787604604732
bow_unigram__random_forest,bow_unigram,random_forest,0.9967558799675588,0.996867746175574,0.9967558799675588,0.9967814380365788,0.9903344151262876,0.999824773798904
tfidf_unigram__random_forest,tfidf_unigram,random_forest,0.9967558799675588,0.996867746175574,0.9967558799675588,0.9967814380365788,0.9903344151262876,0.9998796426093483
tfidf_bigram__linear_svc,tfidf_bigram,linear_svc,0.9967558799675588,0.9968410209979256,0.9967558799675588,0.9967772486213489,0.9903089571190784,0.9999637157866417
bow_bigram__random_forest,bow_bigram,random_forest,0.9964855366315221,0.996616447874474,0.9964855366315221,0.9965154826027236,0.9895426783852227,0.9998783151381279
tfidf_bigram__random_forest,tfidf_bigram,random_forest,0.9962151932954852,0.9963665855636659,0.9962151932954852,0.9962498665660232,0.9887530101432707,0.9998769876669075
tfidf_sublinear__random_forest,tfidf_sublinear,random_forest,0.9959448499594485,0.9961181469697284,0.9959448499594485,0.9959845882497812,0.9879654012606559,0.9999159268227065
bow_unigram__multinomial_nb,bow_unigram,multinomial_nb,0.995404163287375,0.9954675503857644,0.995404163287375,0.9954254591461293,0.9862165213676468,0.9986508467496424
bow_unigram__complement_nb,bow_unigram,complement_nb,0.995404163287375,0.9954675503857644,0.995404163287375,0.9954254591461293,0.9862165213676468,0.9986508467496426
hashing__multinomial_nb,hashing,multinomial_nb,0.9948634766153014,0.9949318170380536,0.9948634766153014,0.9948872778692033,0.9845949356461936,0.9984300440366453
hashing__complement_nb,hashing,complement_nb,0.9948634766153014,0.9949318170380536,0.9948634766153014,0.9948872778692033,0.9845949356461936,0.9984300440366453
tfidf_bigram__multinomial_nb,tfidf_bigram,multinomial_nb,0.9948634766153014,0.9948570172965568,0.9948634766153014,0.9948600308857096,0.9844298074113328,0.9988008509975504
tfidf_bigram__complement_nb,tfidf_bigram,complement_nb,0.9948634766153014,0.9948570172965568,0.9948634766153014,0.9948600308857096,0.9844298074113328,0.9988008509975504
tfidf_unigram__logistic_regression,tfidf_unigram,logistic_regression,0.9945931332792647,0.9948528576720725,0.9945931332792647,0.9946564033343425,0.9840164890721008,0.9998265437605313
tfidf_bigram__logistic_regression,tfidf_bigram,logistic_regression,0.9945931332792647,0.9948117385827157,0.9945931332792647,0.9946495574836667,0.9839748033133469,0.9998407034535491
tfidf_unigram__complement_nb,tfidf_unigram,complement_nb,0.9945931332792647,0.9948117385827157,0.9945931332792647,0.9946495574836667,0.9839748033133469,0.9990911247044164
